RMSE,MAE,MAPE,R^2,Adjusted R^2,Cross Val Score (Mean),type,model
0.2732521632140234,0.18697057603494216,1.6831993188739354,0.8806592444401222,0.8804322529887483,0.8784557575668852,Train,linear_regression
0.25548184475982505,0.18008956580859384,1.6113923297080188,0.889350548386192,0.8887169080047242,0.8877304621023901,Test,linear_regression
14501.308781477175,6323.486053762146,7.76705803064026,0.9798321546828163,0.9797937945395596,0.8568460824060453,Train,random_forest
34834.13908508139,16337.16779664153,17.70187362967349,0.8919050077037887,0.8912859955789714,0.8514268493671512,Test,random_forest
37743.17978752403,15801.612415974694,16.75470878148943,0.863377548805822,0.8631176867968935,0.7224624176068193,Train,knn
62248.75564015261,26164.52110004742,24.847783872472267,0.6548111489898106,0.6528344053906112,0.611205547979299,Test,knn
29217.795494371665,15981.491056105495,20.979751418492544,0.918127134399219,0.9179714085492888,0.8554256173492497,Train,gradient_boost
35956.69175397231,18108.094355649224,21.428850959318506,0.8848258897607675,0.8841663386641935,0.8654021432293371,Test,gradient_boost
